phase,condition,kind,metric,value,numerator,denominator,wilson_low,wilson_high
main,baseline,adversarial,task_success,0.0,0.0,30,0.0,0.11351339317396876
main,baseline,adversarial,unsupported_structured_claim,0.3333333333333333,10.0,30,0.19230498083676134,0.5121994835545616
main,baseline,adversarial,evidence_valid,0.16666666666666666,5.0,30,0.0733654237184855,0.3356435050641603
main,baseline,adversarial,tool_selection_policy_met,1.0,30.0,30,0.8864866068260312,0.9999999999999999
main,baseline,adversarial,operational_failure,0.16666666666666666,5.0,30,0.0733654237184855,0.3356435050641603
main,baseline,adversarial,mean_completeness,0.3333333333333333,,30,,
main,baseline,adversarial,mean_latency_s,3.4939445818638584,,30,,
main,baseline,adversarial,mean_cost_usd,0.0010028266666666668,,30,,
main,baseline,adversarial,mean_input_tokens,2099.3333333333335,,30,,
main,baseline,adversarial,mean_output_tokens,169.13333333333333,,30,,
main,baseline,adversarial,median_latency_s,3.1965839584881905,,30,,
main,baseline,adversarial,p95_latency_s,5.872477753800921,,30,,
main,baseline,answerable,task_success,1.0,30.0,30,0.8864866068260312,0.9999999999999999
main,baseline,answerable,false_refusal,0.0,0.0,30,0.0,0.11351339317396876
main,baseline,answerable,factual_error,0.0,0.0,30,0.0,0.11351339317396876
main,baseline,answerable,chart_returned,1.0,20.0,20,0.8388748419471806,1.0
main,baseline,answerable,chart_correct,1.0,20.0,20,0.8388748419471806,1.0
main,baseline,answerable,evidence_valid,1.0,30.0,30,0.8864866068260312,0.9999999999999999
main,baseline,answerable,tool_selection_policy_met,1.0,30.0,30,0.8864866068260312,0.9999999999999999
main,baseline,answerable,operational_failure,0.0,0.0,30,0.0,0.11351339317396876
main,baseline,answerable,mean_accuracy,1.0,,30,,
main,baseline,answerable,mean_completeness,1.0,,30,,
main,baseline,answerable,mean_latency_s,5.833151115265597,,30,,
main,baseline,answerable,mean_cost_usd,0.002054733333333334,,30,,
main,baseline,answerable,mean_input_tokens,4286.566666666667,,30,,
main,baseline,answerable,mean_output_tokens,338.1666666666667,,30,,
main,baseline,answerable,median_latency_s,5.7705448959895875,,30,,
main,baseline,answerable,p95_latency_s,7.672022693743929,,30,,
main,prompt,adversarial,task_success,0.9333333333333333,28.0,30,0.7867654163738308,0.9815229762087295
main,prompt,adversarial,unsupported_structured_claim,0.06666666666666667,2.0,30,0.018477023791270378,0.2132345836261692
main,prompt,adversarial,evidence_valid,1.0,30.0,30,0.8864866068260312,0.9999999999999999
main,prompt,adversarial,tool_selection_policy_met,1.0,30.0,30,0.8864866068260312,0.9999999999999999
main,prompt,adversarial,operational_failure,0.0,0.0,30,0.0,0.11351339317396876
main,prompt,adversarial,mean_completeness,0.06666666666666667,,30,,
main,prompt,adversarial,mean_latency_s,3.963888394498887,,30,,
main,prompt,adversarial,mean_cost_usd,0.0012662266666666666,,30,,
main,prompt,adversarial,mean_input_tokens,2676.5,,30,,
main,prompt,adversarial,mean_output_tokens,181.46666666666667,,30,,
main,prompt,adversarial,median_latency_s,3.8084981869906187,,30,,
main,prompt,adversarial,p95_latency_s,6.803487298099207,,30,,
main,prompt,answerable,task_success,1.0,30.0,30,0.8864866068260312,0.9999999999999999
main,prompt,answerable,false_refusal,0.0,0.0,30,0.0,0.11351339317396876
main,prompt,answerable,factual_error,0.0,0.0,30,0.0,0.11351339317396876
main,prompt,answerable,chart_returned,1.0,20.0,20,0.8388748419471806,1.0
main,prompt,answerable,chart_correct,1.0,20.0,20,0.8388748419471806,1.0
