phase,condition,question_id,task_success,accuracy,completeness,latency_s,cost_usd
main,baseline,A01_profit,0.0,,1.0,5.022466916788835,0.0016107200000000002
main,baseline,A02_reviews,0.0,,0.0,2.9767378915916196,0.0008794400000000001
main,baseline,A03_distribution,0.0,,0.0,3.5351278248010205,0.0008392800000000001
main,baseline,A04_causality,0.0,,0.0,3.573789683205541,0.00121512
main,baseline,A05_transaction_year,0.0,,1.0,3.8323264081962405,0.0010321600000000003
main,baseline,A06_population,0.0,,0.0,2.0232187665998937,0.00044024
main,baseline,Q01_quality,1.0,1.0,1.0,7.01329648301471,0.00255336
main,baseline,Q02_top_games,1.0,1.0,1.0,5.159290158189833,0.0018469600000000004
main,baseline,Q03_release_year,1.0,1.0,1.0,6.2351653667981735,0.0025475999999999997
main,baseline,Q04_regions,1.0,1.0,1.0,6.0460897751851,0.0019195200000000003
main,baseline,Q05_filtered,1.0,1.0,1.0,4.936812566802837,0.0017312
main,baseline,Q06_publishers,1.0,1.0,1.0,5.608252341602929,0.0017297600000000003
main,prompt,A01_profit,1.0,,0.0,5.571420966996811,0.00192704
main,prompt,A02_reviews,1.0,,0.0,4.562475775007624,0.0016078400000000004
main,prompt,A03_distribution,1.0,,0.0,5.532170933391899,0.0018043200000000003
main,prompt,A04_causality,1.0,,0.0,2.1349547165911646,0.0005404000000000001
main,prompt,A05_transaction_year,0.6,,0.4,3.9820743666030465,0.00118704
main,prompt,A06_population,1.0,,0.0,2.0002336084027776,0.00053072
main,prompt,Q01_quality,1.0,1.0,1.0,7.4483165252022445,0.0023561600000000004
main,prompt,Q02_top_games,1.0,1.0,1.0,5.055173891596496,0.0016802400000000002
main,prompt,Q03_release_year,1.0,1.0,1.0,7.515557366597932,0.0027079200000000004
main,prompt,Q04_regions,1.0,1.0,1.0,6.428674225008581,0.0020508
main,prompt,Q05_filtered,1.0,1.0,1.0,5.2019799332250845,0.0016148000000000002
main,prompt,Q06_publishers,1.0,1.0,1.0,5.6181540749850685,0.0015851200000000002
main,verified,A01_profit,1.0,,0.0,4.463022908207495,0.0018086400000000002
main,verified,A02_reviews,1.0,,0.0,3.9872434750082903,0.0015441600000000002
main,verified,A03_distribution,1.0,,0.0,5.022984808392357,0.00169184
main,verified,A04_causality,1.0,,0.0,1.7809708166052587,0.0005333600000000001
main,verified,A05_transaction_year,0.8,,0.2,3.240166624810081,0.0011886400000000001
main,verified,A06_population,1.0,,0.0,2.2730146083864384,0.0005336000000000001
main,verified,Q01_quality,1.0,1.0,1.0,7.35253519959515,0.00230816
main,verified,Q02_top_games,1.0,1.0,1.0,5.959463775006588,0.00181912
main,verified,Q03_release_year,1.0,1.0,1.0,6.240327308396809,0.00239608
main,verified,Q04_regions,1.0,1.0,1.0,6.478138908394612,0.0020348000000000002
main,verified,Q05_filtered,1.0,1.0,1.0,5.093544166791252,0.0016570400000000002
main,verified,Q06_publishers,1.0,1.0,1.0,5.3729587668087335,0.0015896
recovery,baseline,Q02_top_games,1.0,1.0,1.0,14.458281694329344,0.0021614666666666667
recovery,baseline,Q05_filtered,1.0,1.0,1.0,10.428571582985265,0.002047466666666667
recovery,prompt,Q02_top_games,1.0,1.0,1.0,11.027307361344961,0.0023073333333333335
recovery,prompt,Q05_filtered,1.0,1.0,1.0,9.89012256967059,0.0022664
recovery,verified,Q02_top_games,1.0,1.0,1.0,10.239046153010955,0.0022634666666666668
recovery,verified,Q05_filtered,1.0,1.0,1.0,10.957040222012438,0.002258666666666667
