phase,condition,kind,runs,prose_unsupported_n,prose_ambiguous_n,prose_flagged_n,reasoning_mean_0_6,reasoning_median_0_6,reasoning_min_0_6,reasoning_max_0_6,task_interpretation_0_2_mean,method_evidence_0_2_mean,explanation_alignment_0_2_mean,selection_correct_calls,selection_eligible_calls,parameter_correct_calls,parameter_eligible_calls,runs_with_eligible_calls,runs_without_eligible_calls,all_calls_suitable_runs
main,baseline,all,60,9,4,13,4.866666666666666,6.0,0,6,1.7833333333333334,1.4333333333333333,1.65,82,105,82,105,53,7,34
main,baseline,answerable,30,0,0,0,6.0,6.0,6,6,2.0,2.0,2.0,75,75,75,75,30,0,30
main,baseline,adversarial,30,9,4,13,3.7333333333333334,5.0,0,6,1.5666666666666667,0.8666666666666667,1.3,7,30,7,30,23,7,4
main,prompt,all,60,6,2,8,5.4,6.0,0,6,1.95,1.55,1.9,100,115,86,105,50,10,39
main,prompt,answerable,30,0,2,2,5.9,6.0,5,6,2.0,1.9666666666666666,1.9333333333333333,77,77,73,75,30,0,30
main,prompt,adversarial,30,6,0,6,4.9,5.0,0,6,1.9,1.1333333333333333,1.8666666666666667,23,38,13,30,20,10,9
main,verified,all,60,5,7,12,5.45,6.0,1,6,1.9833333333333334,1.6166666666666667,1.85,97,111,85,100,50,10,39
main,verified,answerable,30,0,5,5,5.833333333333333,6.0,5,6,2.0,2.0,1.8333333333333333,75,75,71,71,30,0,30
main,verified,adversarial,30,5,2,7,5.066666666666666,5.0,1,6,1.9666666666666666,1.2333333333333334,1.8666666666666667,22,36,14,29,20,10,9
recovery,baseline,all,6,0,0,0,6.0,6.0,6,6,2.0,2.0,2.0,12,12,12,12,6,0,6
recovery,baseline,answerable,6,0,0,0,6.0,6.0,6,6,2.0,2.0,2.0,12,12,12,12,6,0,6
recovery,prompt,all,6,0,0,0,6.0,6.0,6,6,2.0,2.0,2.0,12,12,12,12,6,0,6
recovery,prompt,answerable,6,0,0,0,6.0,6.0,6,6,2.0,2.0,2.0,12,12,12,12,6,0,6
recovery,verified,all,6,0,0,0,6.0,6.0,6,6,2.0,2.0,2.0,12,12,12,12,6,0,6
recovery,verified,answerable,6,0,0,0,6.0,6.0,6,6,2.0,2.0,2.0,12,12,12,12,6,0,6
