run_id,condition,question_id,relaxed_abstention,numeric_unsupported_claim,empty_claims,string_null_value
main_prompt_A01_profit_r2,prompt,A01_profit,True,False,False,False
main_baseline_A01_profit_r2,baseline,A01_profit,False,True,False,False
main_verified_A01_profit_r2,verified,A01_profit,True,False,False,False
main_baseline_A06_population_r1,baseline,A06_population,True,False,True,False
main_verified_A06_population_r1,verified,A06_population,True,False,False,False
main_prompt_A06_population_r1,prompt,A06_population,True,False,False,False
main_verified_A05_transaction_year_r3,verified,A05_transaction_year,True,False,False,False
main_prompt_A05_transaction_year_r3,prompt,A05_transaction_year,False,True,False,False
main_baseline_A05_transaction_year_r3,baseline,A05_transaction_year,False,True,False,False
main_prompt_A03_distribution_r5,prompt,A03_distribution,True,False,False,False
main_baseline_A03_distribution_r5,baseline,A03_distribution,True,False,True,False
main_verified_A03_distribution_r5,verified,A03_distribution,True,False,False,False
main_verified_A01_profit_r1,verified,A01_profit,True,False,False,False
main_prompt_A01_profit_r1,prompt,A01_profit,True,False,False,False
main_baseline_A01_profit_r1,baseline,A01_profit,False,True,False,False
main_verified_A04_causality_r5,verified,A04_causality,True,False,False,False
main_prompt_A04_causality_r5,prompt,A04_causality,True,False,False,False
main_baseline_A04_causality_r5,baseline,A04_causality,True,False,True,False
main_prompt_A03_distribution_r3,prompt,A03_distribution,True,False,False,False
main_verified_A03_distribution_r3,verified,A03_distribution,True,False,False,False
main_baseline_A03_distribution_r3,baseline,A03_distribution,True,False,True,False
main_baseline_A03_distribution_r1,baseline,A03_distribution,True,False,True,False
main_verified_A03_distribution_r1,verified,A03_distribution,True,False,False,False
main_prompt_A03_distribution_r1,prompt,A03_distribution,True,False,False,False
main_verified_A04_causality_r1,verified,A04_causality,True,False,False,False
main_prompt_A04_causality_r1,prompt,A04_causality,True,False,False,False
main_baseline_A04_causality_r1,baseline,A04_causality,True,False,True,False
main_verified_A02_reviews_r5,verified,A02_reviews,True,False,False,False
main_prompt_A02_reviews_r5,prompt,A02_reviews,True,False,False,False
main_baseline_A02_reviews_r5,baseline,A02_reviews,False,False,True,False
main_prompt_A04_causality_r4,prompt,A04_causality,True,False,False,False
main_verified_A04_causality_r4,verified,A04_causality,True,False,False,False
main_baseline_A04_causality_r4,baseline,A04_causality,True,False,True,False
main_baseline_A02_reviews_r2,baseline,A02_reviews,False,False,True,False
main_verified_A02_reviews_r2,verified,A02_reviews,True,False,False,False
main_prompt_A02_reviews_r2,prompt,A02_reviews,True,False,False,False
main_baseline_A02_reviews_r3,baseline,A02_reviews,False,False,True,False
main_verified_A02_reviews_r3,verified,A02_reviews,True,False,False,False
main_prompt_A02_reviews_r3,prompt,A02_reviews,True,False,False,False
main_verified_A05_transaction_year_r5,verified,A05_transaction_year,False,True,False,False
main_prompt_A05_transaction_year_r5,prompt,A05_transaction_year,True,False,False,False
main_baseline_A05_transaction_year_r5,baseline,A05_transaction_year,False,True,False,False
main_baseline_A04_causality_r3,baseline,A04_causality,True,False,True,False
main_prompt_A04_causality_r3,prompt,A04_causality,True,False,False,False
main_verified_A04_causality_r3,verified,A04_causality,True,False,False,False
main_baseline_A01_profit_r5,baseline,A01_profit,False,True,False,False
main_verified_A01_profit_r5,verified,A01_profit,True,False,False,False
main_prompt_A01_profit_r5,prompt,A01_profit,True,False,False,False
main_verified_A05_transaction_year_r2,verified,A05_transaction_year,True,False,False,False
main_baseline_A05_transaction_year_r2,baseline,A05_transaction_year,False,True,False,False
main_prompt_A05_transaction_year_r2,prompt,A05_transaction_year,True,False,False,False
main_prompt_A02_reviews_r4,prompt,A02_reviews,True,False,False,False
main_verified_A02_reviews_r4,verified,A02_reviews,True,False,False,False
main_baseline_A02_reviews_r4,baseline,A02_reviews,False,False,True,False
main_verified_A06_population_r5,verified,A06_population,True,False,False,False
main_prompt_A06_population_r5,prompt,A06_population,True,False,False,False
main_baseline_A06_population_r5,baseline,A06_population,True,False,True,False
main_verified_A05_transaction_year_r1,verified,A05_transaction_year,True,False,False,False
main_prompt_A05_transaction_year_r1,prompt,A05_transaction_year,True,False,False,False
main_baseline_A05_transaction_year_r1,baseline,A05_transaction_year,False,True,False,False
main_baseline_A01_profit_r4,baseline,A01_profit,False,False,False,True
main_verified_A01_profit_r4,verified,A01_profit,True,False,False,False
main_prompt_A01_profit_r4,prompt,A01_profit,True,False,False,False
main_verified_A06_population_r2,verified,A06_population,True,False,False,False
main_prompt_A06_population_r2,prompt,A06_population,True,False,False,False
main_baseline_A06_population_r2,baseline,A06_population,True,False,True,False
main_verified_A03_distribution_r2,verified,A03_distribution,True,False,False,False
main_prompt_A03_distribution_r2,prompt,A03_distribution,True,False,False,False
main_baseline_A03_distribution_r2,baseline,A03_distribution,True,False,True,False
main_baseline_A02_reviews_r1,baseline,A02_reviews,False,False,True,False
main_prompt_A02_reviews_r1,prompt,A02_reviews,True,False,False,False
main_verified_A02_reviews_r1,verified,A02_reviews,True,False,False,False
main_verified_A05_transaction_year_r4,verified,A05_transaction_year,True,False,False,False
main_prompt_A05_transaction_year_r4,prompt,A05_transaction_year,False,True,False,False
main_baseline_A05_transaction_year_r4,baseline,A05_transaction_year,False,True,False,False
main_baseline_A01_profit_r3,baseline,A01_profit,False,True,False,False
main_prompt_A01_profit_r3,prompt,A01_profit,True,False,False,False
