condition,question_id,runs,successes,success_n,success_mean,success_sample_variance,success_sample_sd,success_cv,latency_s_n,latency_s_mean,latency_s_sample_variance,latency_s_sample_sd,latency_s_cv,cost_usd_n,cost_usd_mean,cost_usd_sample_variance,cost_usd_sample_sd,cost_usd_cv
baseline,A01_profit,5,0,5,0.0,0.0,0.0,,5,5.022466916788835,1.5686011387386967,1.2524380778061233,0.24936711352334448,5,0.00161072,4.2804191999999986e-08,0.00020689173980611208,0.12844674419272878
baseline,A02_reviews,5,0,5,0.0,0.0,0.0,,5,2.9767378915916196,0.1203743674248564,0.3469500935651357,0.11655379351509729,5,0.00087944,2.290880000000007e-10,1.513565327298431e-05,0.01721055816540561
baseline,A03_distribution,5,0,5,0.0,0.0,0.0,,5,3.5351278248010205,4.940856681554142,2.222803788361479,0.6287760721881656,5,0.00083928,3.123200000000044e-11,5.588559742903394e-06,0.006658754817109182
baseline,A04_causality,5,0,5,0.0,0.0,0.0,,5,3.573789683205541,3.077996330394075,1.7544219362496796,0.49091359362704184,5,0.0012151199999999999,5.300253119999999e-07,0.0007280283730734674,0.5991411326235002
baseline,A05_transaction_year,5,0,5,0.0,0.0,0.0,,5,3.8323264081962405,0.46274072355759466,0.6802504858929501,0.17750327436569355,5,0.00103216,6.656480000000014e-10,2.5800155038293886e-05,0.02499627483945695
baseline,A06_population,5,0,5,0.0,0.0,0.0,,5,2.0232187665998937,1.0600999945772291,1.0296115746130816,0.5088977977123987,5,0.00044024,6.73280000000001e-11,8.20536409917318e-06,0.018638388377187853
baseline,Q01_quality,5,5,5,1.0,0.0,0.0,0.0,5,7.01329648301471,0.4715183487921767,0.6866719368025583,0.09791001114320323,5,0.00255336,2.7054848000000008e-08,0.00016448357972758255,0.06441848377337411
baseline,Q02_top_games,5,5,5,1.0,0.0,0.0,0.0,5,5.159290158189833,0.13586366387944296,0.36859688533605783,0.07144333310095942,5,0.00184696,1.8688000000000318e-11,4.322961947554051e-06,0.00234058233397261
baseline,Q03_release_year,5,5,5,1.0,0.0,0.0,0.0,5,6.2351653667981735,0.19461470632855202,0.4411515684303435,0.07075218418094334,5,0.0025476,5.7440000000000624e-11,7.578918128598608e-06,0.002974924685428877
baseline,Q04_regions,5,5,5,1.0,0.0,0.0,0.0,5,6.0460897751851,0.572555032141567,0.7566736629099542,0.12515091423477726,5,0.00191952,9.908320000000029e-10,3.147748401635688e-05,0.016398622580831083
baseline,Q05_filtered,5,5,5,1.0,0.0,0.0,0.0,5,4.936812566802837,0.4722151162226815,0.6871791005427053,0.1391948937181818,5,0.0017312,1.2799999999999928e-11,3.5777087639996532e-06,0.002066606263863016
baseline,Q06_publishers,5,5,5,1.0,0.0,0.0,0.0,5,5.608252341602929,3.9812640788773357,1.995310521918164,0.35578115968795226,5,0.00172976,4.6847999999999917e-11,6.844559883586374e-06,0.003956941936214488
prompt,A01_profit,5,5,5,1.0,0.0,0.0,0.0,5,5.571420966996811,3.9570292647767125,1.9892283088616833,0.35704146583882107,5,0.00192704,6.960844800000005e-08,0.0002638341297103164,0.136911600024035
prompt,A02_reviews,5,5,5,1.0,0.0,0.0,0.0,5,4.562475775007624,0.6170542190571277,0.7855279874435587,0.17217143195510906,5,0.00160784,9.284479999999971e-10,3.0470444696459504e-05,0.018951167215929137
prompt,A03_distribution,5,5,5,1.0,0.0,0.0,0.0,5,5.532170933391899,2.3148389447238205,1.5214594785020799,0.2750203305032802,5,0.0018043199999999999,2.1636659199999986e-07,0.0004651522245459005,0.25779918448274175
prompt,A04_causality,5,5,5,1.0,0.0,0.0,0.0,5,2.1349547165911646,0.4448270010534168,0.6669535224087334,0.31239703457206974,5,0.0005404,5.5040000000000076e-11,7.418894796396568e-06,0.013728524789778993
prompt,A05_transaction_year,5,3,5,0.6,0.3,0.5477225575051661,0.9128709291752768,5,3.9820743666030465,0.8587172030703795,0.9266699536892191,0.23271035856613734,5,0.00118704,6.675804800000001e-08,0.00025837578833938756,0.21766392736503196
