condition,question_id,observed_runs,complete_group,outcome_consistent,structured_values_consistent,latency_cv
baseline,A01_profit,5,True,True,False,0.24936711352334448
baseline,A02_reviews,5,True,True,True,0.11655379351509729
baseline,A03_distribution,5,True,True,True,0.6287760721881656
baseline,A04_causality,5,True,True,True,0.49091359362704184
baseline,A05_transaction_year,5,True,True,True,0.17750327436569352
baseline,A06_population,5,True,True,True,0.5088977977123986
baseline,Q01_quality,5,True,True,True,0.09791001114320323
baseline,Q02_top_games,5,True,True,True,0.07144333310095942
baseline,Q03_release_year,5,True,True,True,0.07075218418094334
baseline,Q04_regions,5,True,True,True,0.12515091423477726
baseline,Q05_filtered,5,True,True,True,0.1391948937181818
baseline,Q06_publishers,5,True,True,True,0.35578115968795226
prompt,A01_profit,5,True,True,True,0.357041465838821
prompt,A02_reviews,5,True,True,True,0.17217143195510903
prompt,A03_distribution,5,True,True,True,0.2750203305032802
prompt,A04_causality,5,True,True,True,0.31239703457206974
prompt,A05_transaction_year,5,True,False,False,0.23271035856613734
prompt,A06_population,5,True,True,True,0.19116417859979212
prompt,Q01_quality,5,True,True,True,0.153411453125056
prompt,Q02_top_games,5,True,True,True,0.08849061326860208
prompt,Q03_release_year,5,True,True,True,0.27074181383551765
prompt,Q04_regions,5,True,True,True,0.1777047339147593
prompt,Q05_filtered,5,True,True,True,0.08455767611510229
prompt,Q06_publishers,5,True,True,True,0.27570771469960625
verified,A01_profit,5,True,True,True,0.1285826497778799
verified,A02_reviews,5,True,True,True,0.14001330621591496
verified,A03_distribution,5,True,True,True,0.23945376218558706
verified,A04_causality,5,True,True,True,0.1781937534691377
verified,A05_transaction_year,5,True,False,False,0.21293210439989207
verified,A06_population,5,True,True,True,0.4023198734816582
verified,Q01_quality,5,True,True,True,0.09826044519514891
verified,Q02_top_games,5,True,True,True,0.09193687216199575
verified,Q03_release_year,5,True,True,True,0.23764650822259503
verified,Q04_regions,5,True,True,True,0.07926863534042547
verified,Q05_filtered,5,True,True,True,0.08317372141725785
verified,Q06_publishers,5,True,True,True,0.12126096326505666
